commit,avg,anagram,binary_tree,bitcount1,bitcount2,bitcount3,bitcount4,bitcount5,bubble_sort,collatz,floyd,gcd,jenkins_hash,matmul1,matmul2,matmul3,matmul4,merge_sort,prime,quick_sort,radix_sort,rmq1d_naive,rmq1d_sparsetable,rmq2d_naive,rmq2d_sparsetable
Add CI for build and filechecks (#3),92371023.05762368,50315195.70001667,11177401.342857145,257.4,246.97142857142856,196.82857142857145,16360.371428571432,513.4571428571428,617918828.3182,1163.9857142857145,371170.3,113.42857142857144,305642.1875,203837484.606,452951016.07425,149981899.55345,518896537.77121246,4009756.5666666655,24399395.4714,2919194.966666667,5419543.950016667,143702033.61428574,5288170.657028572,2045718.8,23346711.06056
Function inline pass (#7),nan,49303249.02971667,11664294.029142857,254.4,246.97142857142856,193.82857142857145,16357.328571428574,513.4571428571428,611412929.4376143,1163.9857142857145,356360.24000000005,113.42857142857144,305586.5,199101598.49925,448679028.3723375,149923704.428475,507920458.2785125,3953920.683333333,24228158.485585712,2815087.716666667,5378518.2165,143691729.27407143,5182766.442714284,2034209.28,nan
RemoveUnusedPass (#10),nan,49303249.02971667,11600193.814857144,254.4,246.97142857142856,193.82857142857145,16357.328571428574,513.4571428571428,611412929.4376143,nan,356360.24000000005,113.42857142857144,305586.5,199101598.49925,448679028.3723375,149923704.428475,nan,3953920.683333333,24228158.485585712,2815087.716666667,nan,143691729.27407143,5161835.799885714,2033404.9,21515148.72208
Arithmetic pass (#8),nan,49303249.02971667,11600193.814857144,202.45714285714288,195.02857142857144,193.82857142857145,15885.728571428572,499.57142857142856,611412929.4376143,nan,356360.24000000005,113.42857142857144,285577.25,199101598.49925,448679028.3723375,149923704.428475,nan,3953920.683333333,24228158.485585712,2815087.716666667,nan,143693440.60265714,5145028.442757143,2036644.16,21515150.96208
Add SimplifyCFGPass (#9),nan,52935630.4687,11675346.972014287,202.45714285714288,208.45714285714288,193.82857142857145,15660.814285714285,499.57142857142856,611412921.9519,nan,353635.54000000004,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,nan,3922492.1666666665,26361340.599342857,2811441.25,nan,143690286.97407144,5113030.214171429,1994836.44,21306286.3821
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,nan,52935630.4687,11671390.414871428,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,611412921.9519,nan,354386.88,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,nan,3922492.1666666665,26365186.813628573,2811441.25,nan,143691999.30264285,5104703.042771429,1995138.74,21306287.3821
Support compiler options (#17),nan,52935630.4687,11671390.414871428,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,611412921.9519,nan,354386.88,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,nan,3922492.1666666665,26365186.813628573,2811441.25,nan,143691999.30264285,5120221.242714286,1993288.14,21306287.3821
Fix wrong return value (#35),nan,52935630.4687,11671390.414871428,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,611412921.9519,nan,354386.88,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,nan,3922492.1666666665,26365186.813628573,2811441.25,nan,143691999.30264285,5113182.399914286,1995104.96,21306287.3821
Fix RemoveUnusedPass bug (#31),91332377.9831925,52935630.4687,11671390.414871428,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,611412921.9519,1207.8285714285714,354386.88,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,506738694.13825005,3922492.1666666665,26365186.813628573,2811441.25,5401022.23315,143690287.97407144,5129838.485614286,1993321.92,21655847.46228
Function inline pass bug fix (#20),91332554.03402524,52935630.4687,11675213.6863,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,611412921.9519,1207.8285714285714,354386.88,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,506738694.13825005,3922492.1666666665,26365186.813628573,2811441.25,5401022.23315,143690287.97407144,5128549.414171428,1994906.64,21655953.76228
Automate testing benchmarks (#23),91332559.58759665,52935630.4687,11675346.972014287,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,611412921.9519,1207.8285714285714,354386.88,128.85714285714286,286065.6,199082401.686725,448659733.2475125,149848287.80324998,506738694.13825005,3922492.1666666665,26365186.813628573,2811441.25,5401022.23315,143690287.97407144,5128549.414171428,1994906.64,21655953.76228
Add GVNPass (#25),87313949.99752095,49900948.67011666,11404839.314771429,202.45714285714288,222.8857142857143,193.82857142857145,15660.814285714285,504.4285714285714,565898418.9887,1207.8285714285714,332084.64,128.85714285714286,285053.6,199082397.686725,444465340.3763875,140047608.2585,475855619.804275,3748588.3166666655,25222842.213985715,2704267.9,5170962.883183333,143691999.30264285,5045680.442728572,1986720.96,20673305.48182
Phierasepass (#27),87122709.71133347,49900948.67011666,11404839.314771429,202.45714285714288,178.6,193.82857142857145,15660.814285714285,494.7142857142857,565898418.9887,1163.0857142857144,332084.64,102.42857142857144,285053.6,199082397.686725,444465340.3763875,140047608.2585,475855619.804275,3748588.3166666655,25222842.213985715,2704267.9,5170962.883183333,139103060.35128573,5044132.957014286,1987565.7,20673305.48182
Add BranchPredictPass (#29),83145414.86330773,46570736.67216667,10705223.029014286,162.17142857142858,178.6,165.11428571428573,14895.814285714285,494.7142857142857,544224577.5464715,1163.0857142857144,316404.24000000005,102.42857142857144,266760.35,184933880.14793748,430316823.00765,139655599.75800002,451881028.6956,3642253.933333333,23783728.07147143,2613994.9,5006405.383183333,124605488.61952858,4870108.114157142,1878115.30002,20201667.02228
Implement basic LoopVectorizePass (#32),83329804.3152226,46570736.67216667,10542357.228985714,162.17142857142858,178.6,165.11428571428573,14895.814285714285,494.7142857142857,544224577.5464715,1163.0857142857144,316404.24000000005,102.42857142857144,266760.35,184933880.14793748,430316823.00765,139655599.75800002,451881028.6956,3642253.933333333,23783728.07147143,2613994.9,5006405.383183333,129194426.81694286,4868970.242728571,1878063.66002,20202130.98228
Update skeleton code (6/1),83329940.85081784,46570736.67216667,10542357.228985714,162.17142857142858,178.6,165.11428571428573,14895.814285714285,494.7142857142857,544224577.5464715,1163.0857142857144,316404.24000000005,102.42857142857144,266760.35,184933880.14793748,430316823.00765,139655599.75800002,451881028.6956,3642253.933333333,23783728.07147143,2613994.9,5006405.383183333,129196138.14551428,4870517.728442857,1878081.70002,20202130.98228
Fix CI & compiler option (#42),83329940.85081784,46570736.67216667,10542357.228985714,162.17142857142858,178.6,165.11428571428573,14895.814285714285,494.7142857142857,544224577.5464715,1163.0857142857144,316404.24000000005,102.42857142857144,266760.35,184933880.14793748,430316823.00765,139655599.75800002,451881028.6956,3642253.933333333,23783728.07147143,2613994.9,5006405.383183333,129196138.14551428,4870517.728442857,1878081.70002,20202130.98228
Fix PhierasePass Bug (#47),83329940.85081784,46570736.67216667,10542357.228985714,162.17142857142858,178.6,165.11428571428573,14895.814285714285,494.7142857142857,544224577.5464715,1163.0857142857144,316404.24000000005,102.42857142857144,266760.35,184933880.14793748,430316823.00765,139655599.75800002,451881028.6956,3642253.933333333,23783728.07147143,2613994.9,5006405.383183333,129196138.14551428,4870517.728442857,1878081.70002,20202130.98228
Implement LoopUnrollPass (#49),77619459.63538735,45630886.63336667,10472140.614285717,177.02857142857144,178.6,176.11428571428573,12661.1,494.7142857142857,537699275.8372571,1163.0857142857144,355683.44000000006,102.42857142857144,264666.05,178296008.11630002,299014974.42025,139609837.0955,481785048.4306,3765185.766666666,24358948.67138572,2594959.533333333,4997902.600016667,105231117.9,4995339.328485714,1828944.68,21951159.06042
Supplement LoopVectorizePass (#48),72768688.39276548,45630886.63336667,10724861.128571432,177.02857142857144,178.6,176.11428571428573,12661.1,494.7142857142857,537699275.8372571,1163.0857142857144,355683.44000000006,102.42857142857144,264666.05,132826044.349025,254594254.4793125,114628377.46648753,481197064.9306,3765185.766666666,23147845.171400003,2594959.533333333,4997902.600016667,105231117.9,4995339.328485714,1828944.68,21951159.06042
Sccp pass (#45),72693797.8979248,45629318.5667,10724861.128571432,177.02857142857144,178.6,176.11428571428573,12413.07142857143,487.9,537699275.8372571,1163.0857142857144,355683.44000000006,102.42857142857144,264666.05,132826044.349025,254594254.4793125,114628377.46648753,481197064.9306,3765185.766666666,21352372.771414284,2594959.533333333,4997826.033349999,105231117.9,4995339.328485714,1828944.68,21951159.06042
Add MemoryToStackPass (#51),70189295.25326805,43405030.6667,9969001.057142856,177.02857142857144,178.6,176.11428571428573,12413.07142857143,487.9,494349899.1009857,1159.8857142857144,334764.64,102.42857142857144,251914.375,132635771.599025,254330161.4793,114546230.6914875,480490940.105675,3732563.216666667,19600839.957128573,2404411.1,4693129.483333333,95534125.78571428,4849939.571342857,1669493.4600000002,21730174.76036
MatmulTransposePass (#52),61403054.69317169,43405030.6667,9969001.057142856,177.02857142857144,178.6,176.11428571428573,12413.07142857143,487.9,494349899.1009857,1159.8857142857144,334764.64,102.42857142857144,251914.375,92564162.77813748,92564162.77813748,105514064.771225,480490940.105675,3732563.216666667,19600839.957128573,2404411.1,4693129.483333333,95534125.78571428,4849939.571342857,1669493.4600000002,21730174.76036
Implement ConstantMergePass (#60),58958278.77977452,40406850.16668334,9888313.114285717,177.02857142857144,178.6,176.11428571428573,11728.471428571427,487.9,494331095.35812855,1159.8857142857144,326058.86,102.42857142857144,236914.95,65190767.287975,65190767.287975,105186984.071225,480163859.405675,3686691.7833333337,19600839.957128573,2404411.1,4603543.583333333,95529961.5,4844437.399914286,1663273.38,21729911.08036
FunctionInlinePass Function Attribute λ―Έν™•μΈ (#58),58863121.37839345,40406846.16668334,9859287.21421429,175.02857142857144,178.6,174.11428571428573,11725.42857142857,487.9,494331091.11527145,1159.8857142857144,311236.68,102.42857142857144,236911.45,65190767.287975,65190767.287975,105186984.071225,480160185.255675,3671854.483333333,19429331.75817143,2327719.3833333333,4603510.0,95529957.5,4751666.299871428,1654156.8199999998,19858636.922
Return correct PreservedAnalysis (#59),58863121.37839345,40406846.16668334,9859287.21421429,175.02857142857144,178.6,174.11428571428573,11725.42857142857,487.9,494331091.11527145,1159.8857142857144,311236.68,102.42857142857143,236911.45,65190767.287975,65190767.287975,105186984.071225,480160185.255675,3671854.483333333,19429331.75817143,2327719.3833333333,4603510.0,95529957.5,4751666.299871428,1654156.8199999998,19858636.922
