commit,sum,anagram,binary_tree,bitcount1,bitcount2,bitcount3,bitcount4,bitcount5,bubble_sort,collatz,floyd,gcd,jenkins_hash,matmul1,matmul2,matmul3,matmul4,merge_sort,prime,quick_sort,radix_sort,rmq1d_naive,rmq1d_sparsetable,rmq2d_naive,rmq2d_sparsetable
Add CI for build and filechecks (#3),163.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,6.0,6.0,7.0,7.0,5.0,5.0
Function inline pass (#7),165.90437328797145,6.168232927085178,6.976406175400378,7.303885343820987,7.0,7.3312081152675415,7.001878158418641,7.0,7.066528729227995,7.0,5.187392462456257,7.0,8.06341838858826,8.230657086627577,8.124417458070496,8.022394526253638,8.174132231243874,6.122698273393659,7.089503254080528,6.234692357186791,6.0566171279549685,7.072883238888625,7.25222066027737,5.1377861957756465,5.287420577953012
Function inline pass bug fix (#20),165.90437328797145,6.168232927085178,6.976406175400378,7.303885343820987,7.0,7.3312081152675415,7.001878158418641,7.0,7.066528729227995,7.0,5.187392462456257,7.0,8.06341838858826,8.230657086627577,8.124417458070496,8.022394526253638,8.174132231243874,6.122698273393659,7.089503254080528,6.234692357186791,6.0566171279549685,7.072883238888625,7.25222066027737,5.1377861957756465,5.287420577953012
FunctionInlinePass Function Attribute λ―Έν™•μΈ (#58),165.8933046508409,6.168232927085178,6.976406175400378,7.303885343820987,7.0,7.3312081152675415,7.001878158418641,7.0,7.066528729227995,7.0,5.187392462456257,7.0,8.06341838858826,8.230657086627577,8.124417458070496,8.022394526253638,8.103280754081144,6.122698273393659,7.089503254080528,6.234692357186791,6.0566171279549685,7.072883238888625,7.25222066027737,5.1377861957756465,5.347203417985183
RemoveUnusedPass (#10),nan,6.168232927085178,nan,7.303885343820987,7.0,7.3312081152675415,7.001878158418641,7.0,7.066528729227995,nan,5.187392462456257,7.0,8.06341838858826,8.230657086627577,8.124417458070496,8.022394526253638,nan,6.122698273393659,7.089503254080528,6.234692357186791,nan,7.072883238888625,7.25222066027737,5.1377861957756465,5.39298903536526
Fix RemoveUnusedPass bug (#31),165.8933046508409,6.168232927085178,6.976406175400378,7.303885343820987,7.0,7.3312081152675415,7.001878158418641,7.0,7.066528729227995,7.0,5.187392462456257,7.0,8.06341838858826,8.230657086627577,8.124417458070496,8.022394526253638,8.103280754081144,6.122698273393659,7.089503254080528,6.234692357186791,6.0566171279549685,7.072883238888625,7.25222066027737,5.1377861957756465,5.347203417985183
Arithmetic pass (#8),170.03929655005442,6.168232927085178,6.976406175400378,8.871667088425713,8.50509787038968,7.3312081152675415,7.297272601286121,7.226377513874741,7.066528729227995,7.0,5.187392462456257,7.0,8.614758716065175,8.230657086627577,8.124417458070496,8.022394526253638,8.103280754081144,6.122698273393659,7.089503254080528,6.234692357186791,6.0566171279549685,7.072883238888625,7.25222066027737,5.1377861957756465,5.347203417985183
Fix wrong return value (#35),170.03929655005442,6.168232927085178,6.976406175400378,8.871667088425713,8.50509787038968,7.3312081152675415,7.297272601286121,7.226377513874741,7.066528729227995,7.0,5.187392462456257,7.0,8.614758716065175,8.230657086627577,8.124417458070496,8.022394526253638,8.103280754081144,6.122698273393659,7.089503254080528,6.234692357186791,6.0566171279549685,7.072883238888625,7.25222066027737,5.1377861957756465,5.347203417985183
Add SimplifyCFGPass (#9),168.8487326267028,5.800433487364508,6.9308779859487055,8.871667088425713,8.147463957299578,7.3312081152675415,7.441254016075018,7.226377513874741,7.081972691563436,6.906312663623065,5.239920337334539,6.474512462647696,8.615304056909121,8.234089294796732,8.127825239772863,8.04461141243687,8.130660122699268,6.210304074236443,6.7742810794776664,6.249072822520949,6.033800543332056,7.083149811610382,7.296158992448815,5.213254136442122,5.384220720594959
Support compiler options (#17),168.8487326267028,5.800433487364508,6.9308779859487055,8.871667088425713,8.147463957299578,7.3312081152675415,7.441254016075018,7.226377513874741,7.081972691563436,6.906312663623065,5.239920337334539,6.474512462647696,8.615304056909121,8.234089294796732,8.127825239772863,8.04461141243687,8.130660122699268,6.210304074236443,6.7742810794776664,6.249072822520949,6.033800543332056,7.083149811610382,7.296158992448815,5.213254136442122,5.384220720594959
Automate testing benchmarks (#23),168.8487326267028,5.800433487364508,6.9308779859487055,8.871667088425713,8.147463957299578,7.3312081152675415,7.441254016075018,7.226377513874741,7.081972691563436,6.906312663623065,5.239920337334539,6.474512462647696,8.615304056909121,8.234089294796732,8.127825239772863,8.04461141243687,8.130660122699268,6.210304074236443,6.7742810794776664,6.249072822520949,6.033800543332056,7.083149811610382,7.296158992448815,5.213254136442122,5.384220720594959
Phierasepass (#27),173.55636446698006,5.800433327020458,6.996830083260137,8.871667088425713,9.716357685584871,7.3312081152675415,7.441254016075018,7.395906683119602,7.083775830167705,7.336426309154111,5.239920337334539,8.88783215081284,8.615304056909121,8.234089294796732,8.127825239772863,8.04461141243687,8.130660122699268,6.210304074236443,6.832301612956931,6.249072822520949,6.033800543332056,7.083149811610382,7.296158992448815,5.213254136442122,5.384220720594959
Fix PhierasePass Bug (#47),173.55636446698006,5.800433327020458,6.996830083260137,8.871667088425713,9.716357685584871,7.3312081152675415,7.441254016075018,7.395906683119602,7.083775830167705,7.336426309154111,5.239920337334539,8.88783215081284,8.615304056909121,8.234089294796732,8.127825239772863,8.04461141243687,8.130660122699268,6.210304074236443,6.832301612956931,6.249072822520949,6.033800543332056,7.083149811610382,7.296158992448815,5.213254136442122,5.384220720594959
Add GVNPass (#25),176.89145340094103,6.082846311378222,7.084809249765209,8.871667088425713,9.716357685584871,7.3312081152675415,7.441254016075018,7.395906683119602,7.515157731429769,7.336426309154111,5.239920337334539,8.88783215081284,8.641360283296844,8.240268792621203,8.207955215755113,8.570239600163031,8.626322082828988,6.426965630954217,7.261734186769572,6.499415114533247,6.308058090909542,7.083149811610382,7.3909250195499965,5.224476345696946,5.507197547904483
Add BranchPredictPass (#29),184.83987829491966,6.573911098323067,7.32473908317598,10.137370292368907,9.716357685584871,8.122883375434437,7.946939648264427,7.395906683119602,7.750574247302049,7.336426309154111,5.502814581637901,8.88783215081284,9.118956983071772,8.810068183069868,8.477777815834209,8.696223475006121,9.074547024479827,6.587174776598922,7.5385840957456685,6.70532893929635,6.5297222618342206,7.523053151575429,7.917663026150195,5.36123770035943,5.803785706719443
Implement basic LoopVectorizePass (#32),185.09948215103546,6.573911098323067,7.563304505830317,10.137370292368907,9.716357685584871,8.122883375434437,7.946939648264427,7.395906683119602,7.750574247302049,7.336426309154111,5.502814581637901,8.88783215081284,9.118956983071772,8.810068183069868,8.477777815834209,8.696223475006121,9.074547024479827,6.587174776598922,7.559622529207141,6.70532893929635,6.5297222618342206,7.523053151575429,7.917663026150195,5.36123770035943,5.803785706719443
Fix CI & compiler option (#42),185.09948215103546,6.573911098323067,7.563304505830317,10.137370292368907,9.716357685584871,8.122883375434437,7.946939648264427,7.395906683119602,7.750574247302049,7.336426309154111,5.502814581637901,8.88783215081284,9.118956983071772,8.810068183069868,8.477777815834209,8.696223475006121,9.074547024479827,6.587174776598922,7.559622529207141,6.70532893929635,6.5297222618342206,7.523053151575429,7.917663026150195,5.36123770035943,5.803785706719443
Implement LoopUnrollPass (#49),188.71514540444025,6.57961659901113,7.465746156947507,10.25138787738735,9.716357685584871,8.228518506654924,9.590637388117191,7.395906683119602,7.831663402773995,7.336426309154111,5.457950106719856,8.88783215081284,8.983334732501582,8.871557961440889,10.942804025003516,8.650531588379865,8.553471929386223,6.278116554735326,7.559622529207141,6.903836290162692,6.63426830550531,7.608210650869944,8.0938782098096,5.005863175835737,5.887606585319017
Supplement LoopVectorizePass (#48),193.91622049422148,6.57961659901113,7.326053350619224,10.25138787738735,9.716357685584871,8.228518506654924,9.590637388117191,7.395906683119602,7.831663402773995,7.336426309154111,5.457950106719856,8.88783215081284,8.983334732501582,10.973478157023123,12.136316887733665,10.12389613829957,8.584999976956167,6.278116554735326,8.10006476951464,6.903836290162692,6.63426830550531,7.608210650869944,8.0938782098096,5.005863175835737,5.887606585319017
Refactor and add comments (#62),193.91622049422148,6.57961659901113,7.326053350619224,10.25138787738735,9.716357685584871,8.228518506654924,9.590637388117191,7.395906683119602,7.831663402773995,7.336426309154111,5.457950106719856,8.88783215081284,8.983334732501582,10.973478157023123,12.136316887733665,10.12389613829957,8.584999976956167,6.278116554735326,8.10006476951464,6.903836290162692,6.63426830550531,7.608210650869944,8.0938782098096,5.005863175835737,5.887606585319017
MatmulTransposePass (#52),203.7777439639286,6.57961659901113,7.326053350619224,10.25138787738735,9.716357685584871,8.228518506654924,9.590637388117191,7.395906683119602,7.831663402773995,7.336426309154111,5.457950106719856,8.88783215081284,8.983334732501582,13.33319937388252,19.131130979447434,10.630884299433507,8.584999976956167,6.278116554735326,8.10006476951464,6.903836290162692,6.63426830550531,7.608210650869944,8.0938782098096,5.005863175835737,5.887606585319017
Implement ConstantMergePass (#60),210.66426286384456,7.02804873302975,7.464852617913724,10.25138787738735,9.716357685584871,8.228518506654924,10.15206268819072,7.395906683119602,7.851112851994169,7.336426309154111,5.6368811905042,8.88783215081284,9.36453549935446,15.753307752499497,21.56375297676187,10.704516169735573,8.602685966799354,6.332143288824445,8.10006476951464,6.903836290162692,6.747470844916544,7.612760796706008,8.112984806509381,5.020295993063854,5.8965204146499826
Sccp pass (#45),211.358611892917,7.041845059777551,7.464852617913724,10.25138787738735,9.716357685584871,8.228518506654924,10.363423529298766,7.513078105764152,7.851112851994169,7.336426309154111,5.6368811905042,8.88783215081284,9.36453549935446,15.753307752499497,21.56375297676187,10.704516169735573,8.602685966799354,6.332143288824445,8.447625835891817,6.903836290162692,6.751930217111406,7.612760796706008,8.112984806509381,5.020295993063854,5.8965204146499826
Add MemoryToStackPass (#51),216.4621795361799,7.412717264509565,7.857968370049265,10.25138787738735,9.716357685584871,8.228518506654924,10.363423529298766,7.513078105764152,8.320835588850528,7.470933472834416,6.031059699372519,8.88783215081284,9.69971992742868,16.031542365334303,21.84532450432955,10.875375950938821,8.39199177317334,6.459217314678668,8.845520183811566,7.414770135962158,7.275674671491229,8.015052074481865,8.28817217683823,5.295703564232692,5.970002642359581
Return correct PreservedAnalysis (#59),216.4621795361799,7.412717264509565,7.857968370049265,10.25138787738735,9.716357685584871,8.228518506654924,10.363423529298766,7.513078105764152,8.320835588850528,7.470933472834416,6.031059699372519,8.88783215081284,9.69971992742868,16.031542365334303,21.84532450432955,10.875375950938821,8.39199177317334,6.459217314678668,8.845520183811566,7.414770135962158,7.275674671491229,8.015052074481865,8.28817217683823,5.295703564232692,5.970002642359581
Fix filecheck details (#61),216.4621795361799,7.412717264509565,7.857968370049265,10.25138787738735,9.716357685584871,8.228518506654924,10.363423529298766,7.513078105764152,8.320835588850528,7.470933472834416,6.031059699372519,8.88783215081284,9.69971992742868,16.031542365334303,21.84532450432955,10.875375950938821,8.39199177317334,6.459217314678668,8.845520183811566,7.414770135962158,7.275674671491229,8.015052074481865,8.28817217683823,5.295703564232692,5.970002642359581
