commit,sum,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt
Add CI for build and filechecks (#3),6.0,1.0,1.0,1.0,1.0,1.0,1.0
Function inline pass (#7),6.0566171279549685,1.0104028137581857,1.0084191981895687,1.009146284194876,1.0087397498019577,1.0089820822333535,1.010926999777027
Function inline pass bug fix (#20),6.0566171279549685,1.0104028137581857,1.0084191981895687,1.009146284194876,1.0087397498019577,1.0089820822333535,1.010926999777027
FunctionInlinePass Function Attribute λ―Έν™•μΈ (#58),6.0566171279549685,1.0104028137581857,1.0084191981895687,1.009146284194876,1.0087397498019577,1.0089820822333535,1.010926999777027
RemoveUnusedPass (#10),nan,nan,nan,nan,nan,nan,nan
Fix RemoveUnusedPass bug (#31),6.0566171279549685,1.0104028137581857,1.0084191981895687,1.009146284194876,1.0087397498019577,1.0089820822333535,1.010926999777027
Arithmetic pass (#8),6.0566171279549685,1.0104028137581857,1.0084191981895687,1.009146284194876,1.0087397498019577,1.0089820822333535,1.010926999777027
Fix wrong return value (#35),6.0566171279549685,1.0104028137581857,1.0084191981895687,1.009146284194876,1.0087397498019577,1.0089820822333535,1.010926999777027
Add SimplifyCFGPass (#9),6.033800543332056,1.0083937598611397,1.0053039295711543,1.0056441328476706,1.004626281144425,1.004502928206656,1.0053295117010101
Support compiler options (#17),6.033800543332056,1.0083937598611397,1.0053039295711543,1.0056441328476706,1.004626281144425,1.004502928206656,1.0053295117010101
Automate testing benchmarks (#23),6.033800543332056,1.0083937598611397,1.0053039295711543,1.0056441328476706,1.004626281144425,1.004502928206656,1.0053295117010101
Phierasepass (#27),6.033800543332056,1.0083937598611397,1.0053039295711543,1.0056441328476706,1.004626281144425,1.004502928206656,1.0053295117010101
Fix PhierasePass Bug (#47),6.033800543332056,1.0083937598611397,1.0053039295711543,1.0056441328476706,1.004626281144425,1.004502928206656,1.0053295117010101
Add GVNPass (#25),6.308058090909542,1.0328222285270734,1.046888014459875,1.0570120069011235,1.0491549619195597,1.053950867523198,1.068230011578713
Add BranchPredictPass (#29),6.5297222618342206,1.0611355667585471,1.0811416904260582,1.0983417917225677,1.0833736816506174,1.0910026775959532,1.1147268536804766
Implement basic LoopVectorizePass (#32),6.5297222618342206,1.0611355667585471,1.0811416904260582,1.0983417917225677,1.0833736816506174,1.0910026775959532,1.1147268536804766
Fix CI & compiler option (#42),6.5297222618342206,1.0611355667585471,1.0811416904260582,1.0983417917225677,1.0833736816506174,1.0910026775959532,1.1147268536804766
Implement LoopUnrollPass (#49),6.63426830550531,1.1308268083118755,1.093440370528572,1.1002042117110669,1.0967823125258336,1.0968147888694102,1.116199813558552
Supplement LoopVectorizePass (#48),6.63426830550531,1.1308268083118755,1.093440370528572,1.1002042117110669,1.0967823125258336,1.0968147888694102,1.116199813558552
Refactor and add comments (#62),6.63426830550531,1.1308268083118755,1.093440370528572,1.1002042117110669,1.0967823125258336,1.0968147888694102,1.116199813558552
MatmulTransposePass (#52),6.63426830550531,1.1308268083118755,1.093440370528572,1.1002042117110669,1.0967823125258336,1.0968147888694102,1.116199813558552
Implement ConstantMergePass (#60),6.747470844916544,1.1404653703195482,1.1107038789235435,1.122236991484831,1.1146179607624986,1.117144000965398,1.1423026424607237
Sccp pass (#45),6.751930217111406,1.143547021709931,1.1112303848599343,1.1222970447462166,1.11518875293038,1.1173566671389303,1.1423103457260133
Add MemoryToStackPass (#51),7.275674671491229,1.2197398885406738,1.1944500857682678,1.2183988262761396,1.2026570950071065,1.2078283907325424,1.2326003851664993
Return correct PreservedAnalysis (#59),7.275674671491229,1.2197398885406738,1.1944500857682678,1.2183988262761396,1.2026570950071065,1.2078283907325424,1.2326003851664993
Fix filecheck details (#61),7.275674671491229,1.2197398885406738,1.1944500857682678,1.2183988262761396,1.2026570950071065,1.2078283907325424,1.2326003851664993
